,from,to,filename,start_location,end_location,distance,polyline
0,0,31,Aguascalientes-Aguascalientes+Zacatecas-Zacatecas,"(21.885731, -102.326319)","(22.7636322, -102.606128)",129068,{pqdCrrpoRd@MoA_@u@WiAa@ZaAjBoGl@qBpA_@jMpClFJpCp@i@zBsB`AkBvAe@|AIfAb@y@NeAdCkBfB_A|@oHVwARkA}Be@kFgAwBu@uCw@mFNcCRaCzAeCA_CeCgAyAm@{F@gDr@wJLQbET`CKqJqAwA?wd@Xg^L_QoCeDY_GVsNhBaP|BgM~BmIzBeGN_CoAgAuBi@qIYoM^qOvBgmAJaTUwDIuLwB}@_GGs]_@ghAqBw{@u@uMMuNy@ktBaDiaDyEc|AkC{e@{Gwb@}Ge_A_Okn@gIgWqCkJW}R|@}TxA_USwo@aGkk@mAi\cBke@}CkK{Bgm@qQmJo@_IJyYv@cm@pBi\zJumAx`@siB|l@wzApf@_KbBqLAeaAwA_|CgEkaBgBcrAuFoNoAih@mJiVyDcL`@aQlGwTxJmNbHqGvEqJlJuVtZeKzI{JbFoNfE}^lJqQ`CcP?}SmCek@wJinAsT}gAwR}tCkh@uHu@}L@sm@hCw_AhE}]vAaT`AuK~AqVpEuNlCyw@vNwu@|MwT|GyPjIkmCrsAgyEd`CiWjMiWnMkj@tXiMxEaIvAoNbAk]fCsIhCqlAto@as@vb@gC`AyM~B}a@O}PQiKKqPsA{ZmFuJeB}K{@wDj@gHvDiMxLeVxVa\lTqLbG{TzE}OjEsN~J}SdN}\pN}LfIeO`NaHfD{I|AmVHsEb@_EpAkNxIaGbCom@fFuKxDeF~CkX|QmItDmN`EwZjJkTnJyJnGaDzCyJbN{JfNmXd`@gWj^{OlTkM~Jec@pQkLhFuK~He`@fd@}ExFiJ~HkJfEoUtDg|@xJqiDz_@iIh@aORqk@kAkRa@sXi@mo@wAgb@u@m|@mBo}@mByTf@wGjAcOfFkR|HaXjKi^lNiIdDwABmAy@K_CfBiAnBt@XhB`@tdAt@l`C@`a@QlNo@rIaEhEIzBjBtA`W}CxSiC|CKxBl@rB|BrApIpJvd@lTrcAzBzMRzTP`^iCjEqHhB_CrAcJzMaE`BiLn@oD|@wCxD{AtOkBnJqGfHmZfYsDjFcI|QkAvAeJpD_A|@kA`DcBnOkCfIWhIjCfRnBvFvFlIjAfG@~EAnOiAdJQhEjB~DhEfDbAtDWxJ~BbOzAvExA`BbGdChChC\fAQhDaErFoAjAyAnE`@lFtGpIvEpHv@`E^pHgAnCeAt@oB`@{AEmDyAaGgAcJtBaFpFcDv_@qFzI_J~IeY|GcDzAt@`ArAgAdDoAVFHf@f@hCYfA{@^MVf@h@
1,0,13,Aguascalientes-Aguascalientes+Jalisco-Guadalajara,"(21.885731, -102.326319)","(20.6737883, -103.3704326)",228240,{pqdCrrpoRd@MoA_@u@Wm@cBxCaKpA_@jMpClFJpCp@i@zBsB`AqCtDIfAb@y@NeAdCkBfB_A|@oHl@yK?cBzBCK}Q`Lb@zITvL`@pGXjSa@d[uCdPyAhGgAvCsB`DuHdAmS|@{SL{MwEgUkBgGFuDfJyRbBqGFkGCgEdZ_Dr_AsIfe@sExeBoPvzCgYvpCcWbi@aF`f@eA~g@Mn`@EtzAm@rj@I|L`CzFHzMwC|lArSdmEjx@p`@zFrHu@lg@gVpcAyg@~{@eb@nHIrv@tEraAxF~tDeLj|BG~aB{D|h@aBlc@kAlSwBfr@}Uj`Ac]|hA_a@h\qLjSuJlc@sd@`h@ok@tn@yr@naAqgAxfAglAlh@mk@jJmHhIqB|JJrXzGdi@nN|_@zFp_AtAvSfBdX~K~bAjf@hx@hf@pd@nYn^fSt}@d]~f@fQ~bAxXza@lIdk@fIzp@|J~\tEnh@pBpw@bBrwBfFfNvBpDvF^jN@tw@cAvL{@lJd@nErNjPhOfOhnAh~@f|BlbBtT|Jvi@~Ph_Ap[fUvQ`\fZljApeAdh@~e@dVbZxn@xz@fl@dkAh^xiAt~@j{CxQ`m@tKf\vQpYpf@xg@jh@`i@liAzjAb{Ev_FdmBloBdbCprC`eBrsBltB`rCtk@nq@l}ArdB~uAr_B|bGreHpMnOlX|Wjk@bd@rdCtnBj[hXdIrMpl@hoArNnb@hNpRpVnh@`z@zfBz{AxbDhRx]lc@rj@jw@raA`w@v`AnJ|HnVlL|XlKbu@vZ~g@t\`v@rh@vs@nh@~f@b_@bw@nk@bMvKpTlZr\vh@rb@fq@le@ju@vPbX|LbXt\vrAfF|S|Mja@h`@naAdY|w@~Xzz@rN~WtOfVlh@`y@|NpVjNp[~j@dvAlRfi@r`@tvAve@vdBfFxPxJtPla@|k@taB`~BvSxYpIdUvRdy@zIxZt_AboBjf@xu@na@pl@~a@rm@vPxTpJjFle@tPpp@hV~EhJvB`BnJ`FpTj]nE`Lv@dO|@lh@h@dZc@nUm@tTrAlJ`T|p@fInYbCrOzCrUg@bHuL|`@oRfl@cQti@wLvb@sEri@kC~YqIxReUpa@sFjOl@bb@pBt|@nQbxBxDrm@}Cpt@uG|_AqErj@mC|R{Xf|@mZz_AeEhOS`Ep@dI`Lt`@~Pfp@fAdO}@hYgCtf@gCz^i^rn@qf@ll@sQb[cLhWyRnc@uVjj@u\vu@_]rv@kGnJgFeIaMkYgMu^qGcTR_BeBu@o@xB~@|@AlG}GR}YTaFB
2,0,10,Aguascalientes-Aguascalientes+Guanajuato-Guanajuato,"(21.885731, -102.326319)","(21.0251069, -101.2753897)",182171,{pqdCrrpoRd@MoA_@u@WiAa@ZaAjBoGl@qBpA_@jMpClFJpCp@i@zBsB`AkBvAe@|AIfAb@y@NeAdCkBfB_A|@oHl@yK?cBzBCK}Q`Lb@zITvL`@pGXjSa@d[uCdPyAhGgAvCsB`DuHdAmS|@{SL{MwEgUkBgGFuDfJyRbBqGFkGCgEdZ_Dr_AsIfe@sExeBoPvzCgYvpCcWbi@aFrW_AlME~g@Mn`@EtzAm@rj@I|L`CzFHzMwCfk@jJt`@fHnrC~g@ty@jOlLvBbSbCrHu@lg@gVpcAyg@z]kQb]yOnHIrv@tEraAxFhbBqFvw@qC|Xa@vjAErp@A~aB{D|h@aBlc@kAlSwBfr@}Uj`Ac]|hA_a@h\qLjSuJ~OkOlRgTf]y_@xIuJtn@yr@naAqgAxfAglA`_AybAv`FinFtTmUtNoKne@qVxsBifA~g@}WvKmIjMqOl|@_hAro@_y@lbDsaEjTyXzD}IlDqPrHwx@rGo}@pEmv@lE{QdI}MrVs\t_A{nAvuAckBpUg]lc@sdAbb@wbAvj@gsApIqNhb@g`@viA_dAb[}Xf_CuuBlsAklAfb@i`@bXkZ~eAunApxAkcB~}BgmCp\g`@nWg]hVw\nfAezAvdB}`Cv`C_qDjFeL~HqYjTe{@|Y_kA~AiO@}VKwdAAuSd@wHxLek@nHc\lUsbB~Kqy@dE_YfKiX`\qz@`_@mbAfg@oqA`JgM|IaKtCqJb@_HZ_JzNab@tCyL\kGAih@?gh@_@aXuCoLuDmKiJcXkHsQ}HuNwd@e{@uAcDhDoGde@sn@dTeYjzAqpBluBirC~dAcvAjVib@rwA_fClrBqnDvk@sbAnIyPEiF}AeEiAuDWiGn@sX|Bg~@p@aX`AoDlC}CbGiB~KuAhI_A`MaAxH|@`AlA{@|AkAQmAmEaCwQ{PsmAae@cgD_Sg|@{A}Qh@c_@FyRoG}V}Lah@mH}RcB{G_BaSaBsO{BgJ}Ncb@y@eIH_c@@qBw@oN}DaLcNsVcMoUwIwWsF_S_DiHsBeCoV{NwI{GiHmIuAmC@iDi@qA]SkIJyHXkHViUmAmAwAw@_EsBmDgDiGaIgUwFcRZiIQkBcBuCiEmFsAc@{J|@cKrBiJdDuD?qBwAiA{Cc@uGKoEaBcEWuBo@g@cCt@wDl@uA^qEt@oEeByBGwD_EGo@AQKKeA^{@a@Qk@g@{AcBu@kBTkGmCeBe@a@gA@S_@BsJfSI`HhJtN|BrDo@f@KV{@x@cCzAaAIsG`AyCz@sALYn@iC|@}A|AcA`BMtA
3,1,25,Baja California-Mexicali+Sonora-Hermosillo,"(32.6137391, -115.5203308)","(29.082137, -111.0590266)",713337,yz`fEbqa`UtC}sE~a@slBtI}aCpL_v@_@{P|]_LvgCir@hzAma@`dCeq@fr@mKc@dHqAgM\ccDsVwtC}q@_eEacAksElQw`Cb@o{GlAmyL`Bu~J}KebJcIsxAzv@wzDb~BqlL~wBwuKjJ_hA|T{e@x{AetH`iAwvFngGibZ`uEuaU|{@egExu@yrDfZgy@`kBciBjOwo@zBifA|MygGvgAexFjtCqgNvfDcaP|f@yqBvzBuzCduAitBve@siCvb@kwBvz@wvAl{BqoC|qCwvE~o@iuAv{@ii@~c@kv@reAa~@``@{y@j\oeAfQwz@pr@ydApT_bBpV{jDd[}pJ~n@opD|lAi~BvVuk@nyBoaBrIesA{VoqAeBsj@le@afAtu@_xC|_@maDuAevCpCi~A`MgjAvo@uwBrSwpCYyvBwQqeDbt@kxDrr@mqCd`AccEtyAiyD`v@atDfr@szJlq@ilKbh@a}It@w_AyRo`A`UgkAly@yyDlj@ygDleBoeInpD_hQ`{@gdE~V{mAfTaeA`Xed@hjCgzA~`@tPnm@bg@h]rM|pA|i@no@l\xeA[roDl{@j`JgwAtcBsUhqAkp@d_Ea{B|oJy}Flxf@y}\ruT{hOjdFmoHb_FgrAjzC_bBbiFogDddBst@t~CecAtkEivAnoLmwDt_FiaBtcDm`Bny@skAlbDyvBtqF_~BtdA{oA~sBgaB|{GiwE|oD{fDlxBecC`_C_kBx`Ayn@h]yx@vDmsAhd@aOtTub@bh@onA~l@yjB~cBovGx]ycAmPal@y[kq@__@qsAwRg]xV_}@tSet@yQsn@yTy}BkVsrC{{@u`Kg\sxDaOodBzFe_@by@goA|`@gdAnFci@p`@kcBjfAqdCl{@exB~w@siEb~Em`PldCacIj}@wvCoE}jAt[ulDp`@srEpE{qLhBajBpZmdBbZ}_B`OicCb_@ypIrd@_jKjg@ugJfRabFjNwg@|a@ue@dMiJtOnC~u@~]zf@_e@n|@m[vfAql@jfBe[zrDyf@jsF{@rgHtk@f`EpJ|yXeDjrXm@tlTprAtnDwEzu@iEfa@bWfd@d]~TKvaBqcBrgDsnC`oDay@l{GsqAvsGYzfACx{BiXrxHceAjbLs|AlcVgaDhyGc}@z|Dss@`fDc]|bG{fArsMqaCz}L}zBrhA}KzTd`Adc@nrBj_@{Cnh@fSxpAuBl}@|EluAgMbsBq@ffAdA~NzO~Fd`AdDhqA_D~|@gHj|DjSt_CpO|_AbGNhMnNh]{IO`i@gRdI`HrC
4,1,2,Baja California-Mexicali+Baja California Sur-La Paz,"(32.6137391, -115.5203308)","(24.1164209, -110.3727669)",1353829,yz`fEbqa`Ujq@odMnj@{tA`cFwtAzsN}{DfwJklCdoJcaE|xK}nAnhLs\rxGsQphBemA~sDowBb~EsmC~`We|FndUufFpaDyfBbpB_qDnvAgaE~zBiwBhfL}sDpyA}k@tuB~cAttJtm@~gOvRz`Nir@vv`@_}N`xh@koRfmMsxG`rEgiFbzBuoEr~BijFlqAay@|}Azb@~jB}Qt`BjaCntJoQnhV{kEljHwRtxFebAf`FcxAtbEnvAl~@wl@jtN{wExjN}_AleQ|xA|dLdfAbmDgL|vDgcCdcOy`EnzCerDvqGy~BdpIczEpmEe~FxwF}xFh`EucB`zFwnBpmJqe@~bLvT`wEqSn_CalAnjCaSdzCsjDd|CmiFboF_{Fv}A^`_DtgGnsB`O`cBck@rrEvyFhtA~aBhiCq_CxxBehFtmBonDrdMyqWr~G}yC|kCq@vtP~j@`_JyBp|Hj_@nxIrYfyJ}hDpeFuz@`Uu{Az|AnIvmCuPfyE~SzdCkHfwA_uAjkB{tBlwFknFfxBikAtxBrFtuA`tBp_DlKjpIaZzzAolAjzG{bDhfEouAniHlR`p`@|Zvre@hdAbdJxKhaLurXlla@ylrAzlJo|J`{F{yBzzc@}qS|~M{mS`rFgjKvgDilHqZu~Hf{@koHaiAskG_No_IumEilRepJkfRoaCqeKhaAu~Il`DowVc@ebEaoAcm@hM{nAaEwaKf`EqyDbtD{jBlcBs~Az_DnAjzJauCpxCpNtvA{iB`sFsgGx`TeqLjeLylFbbLufFrs@_nB~p@eZmKwvCdqAagDvlKgcIfnGcIraDr{@vwAzh@`kD~SxqAoJ|eDmeDxoCejG|jCicF`mHw{BpzEe`Edj@esEt`CklCvwC{jB~_DgmDnhHwhDzvGobG`kFwjF~xByyChfGwhB|_I{gIlsL_jCtjCe[roC{mCh`FkzDlrD}q@lwBk`AdbDzvAj{IlKryBueCxaJ{}@baDrElaIotBzfDweDb}BemCl_B{nAfe@yo@lhD{z@pgDbzBbcIfuJxxDjbNhzF~eFdfYvlUpnOnfTviKjdVbun@_aUdp_A}u\~lPadGf`C}_GlaE}{Jd}EcvCjmGil[zeAw}Eh|DsuChzFi_JthBs_K~`BgcCfgEiqBx|HmtClxIcm@hfDa^ppAy~B`w@y{A|IaeBzRupGdKucCx}@}xAxDusD|`@ubC|xD}tCn`BgmCqDs~C}[{sFraAyvCvmEokHsGe{@usA}hAuuI{sPtl@yaGzgButBut@_bF
5,2,1,Baja California Sur-La Paz+Baja California-Mexicali,"(24.1164209, -110.3727669)","(32.6137391, -115.5203308)",1353847,yecrCfxs`Tfz@juEgqBlfCkj@tsGhyD~aHbpFxeI|If|@c~BpvDipC~wGh[`jK_zGdlH}r@nyDnXp|BuiAbqA{IrmFs\|iGwjCv{EiuHpNitKnwCs~HvkDacBrcCs{@p_F{e@hsDykBbgDknId~HwiDzaQevDxkPunE~nCidIh}R}la@zzNwjv@poX{b`@`iNweCj}@__BmDi|Em|KioNctVwvUulUw_J_}GogCqrByaB_tFktG}rMsyFiqGsbEsW}uAnm@gw@vdBoqC|yBi{B|wCehF`vBi`I`_@{pIxkA}jBroBkwEpZudHkOmeBi`AwkFdrAynBhkA}{F`|Fq}HpnBizFrl@cbFnzFwcGx`D_zEnzD{rFzrD{yEh_GuzIhtEwpGtdFyfClhCuaBxyF}dEfaFwrDfiAo_EjdCggCr|EmnA~kEicDf}BeyAdqAsoCua@qtFm}Aep@ud@sq@`CisCoI}mFdiBgeDt{C{gDjrF|l@t`C_}@fcA{bCzzD}nSx`Ik`PhwIswJrfGueEdnGk~E~X{hE`iBaiFzAgiGz`DohEphEap@pgE}NrmGpuAduBej@~wNmzBleMuXziFkd@j`CzoAltE`vIh{PzlDvxJx`AnrHdt@x_IduAn}Gso@~kHx[blG}mA~qF_tF~uKmmL|bTajCrlC_uM`gGwcMznG_fKz{DgtKxmHmiOpeb@a`O`th@kqOtba@_i@nmA}vC?a`AgH{hZug@ghg@ob@olJ{y@mvHvg@{iHxeC_kCjxBw_F~}AktIu~@}`BoaCw{Blu@_oGh|EutBtmB}zDdxDsqJeTyfD}P_zAx|B{fN`fDavHjq@uoCyaAqgKlXaqUe}@ytJtu@cfH~kKm|Hx_QodHnhL_kB{s@on@w}@}bB}fCmaButAm_Azo@{v@hFaxBao@{iD}yFclE~aE_pBnjDixDn|FipDl~AykF`hAghLsa@ioRlaB{uGxvCgdE|uBkgGpiJawGb|EcyHzxBatKt}Hk`H|pAizDzdCobDxs@{cE_RuhLw~AqpSu|@k~U~nF{_CnqAqwEqkB_aBbr@aiGdvBggGmEilIfdAojKbyCy`Kb^ycC}TyyA_oBquErGqlChtDedBhhFwaEvwGmiEjuAi}FpsDc{LnnEcqZ|{Kme`@htNghNj~AwpOwF}{KsEwzBodBi_BnGqoKdjD}wDhsB{g@p{ByjFjfJgpSfvEmqYvuGm{KtrGiyGl|Ao~N`b@euKpdAmdKb|D{g\l_JinFrxAi^|mDmk@`fJ
6,3,30,Campeche-Campeche+Yucatán-Mérida,"(19.8305682, -90.5798364)","(20.9800512, -89.7029583)",176750,sr~wBhnygPyJ}VeIoQga@yz@mFgL_IcMq@{@aNoT]gAw@OqAY}IcMyLmMkVyWuN{Oa@sAgPsOoEaFyIkLkDcKuEsUIc@uDgNgHgQeXuh@yRi_@gLu]wMu`@uNoWyM{UsDaPGmAig@s{@i\ok@oXo[cBiF`@yExDcGb@o@aAq@uHmFgG}FwHkNkFcLcOe^uKej@kHgXsZcs@}]qy@qj@yqAgMgZqf@kaAwx@waBwm@sl@gyAyhC}yF_aKcVmb@sQy[kF{MyJa[oDkIue@{j@kqAc}B}Si_@qAmJn@qFfImS`BsFY}IoB{HwRy]iNaTuHaCgGN_ZlDaHTyFoBub@iPak@wCqKc@qQ}AyqFkwBciBus@qDwDaD{P{Fca@oDcMcIaIkYuLa^gOcHeC}Dc@}Wq@_N]iQo@mHuC}m@wg@ug@_o@cEeG{BaGsCiSkDcIkKaQ_JcOwD}I_Fee@qB{E_EmCsNkCoP}Gkb@{TyJaEwu@k]aX{LuHaGmb@u]oI_Hm^sPixAep@sf@sSuFg@wp@xKoVfDkGi@uJkCmJ}CqHgE{_B{fAasAo}@eO{JaF_B{m@cNsz@kSg^iSmBgCyFwOcHaSeFuN_FgJaE}CsU{Ls^uF{QaBiLk@kKi@ohAoFqmByIcr@qDyw@mDk{@qFaQqEmn@cXg`B_r@mnAoh@oYuLoQ_FeN_CmaAoPad@eFw]mBq}AcIuq@kDqSmAkQiCoh@gNmoBqi@o{@yUoeAkUsl@eLks@iLk{@kRov@_T{kA_XwdA_OwlBuWaGiCeE_Ew^em@k[ci@ifA_wBoaAiqBuIgQmGsImNyIcZ{F_HiBoDqCoCeFwEaRaH}WqE{N}E{FuVuNisAmu@yp@a_@aRuH_PmHeRcOqz@kg@wfA}iAq`@w]oVgS}O{Hec@ePa_@qPcVaMkHsHiKiRoUsb@gDkDoImCug@z@yH|@oIpDwJzBqMkBiTsFwb@ePqQqFuO{Caz@kRs_@cKgIiD{FiEav@{x@wdByiB}KoL}JaNif@ypAo[a|@_`@cpAkT_u@gHqU_DyFcGsGkG{DgsAoo@}v@__@sUgLuIoGkIoIuXs[{k@_q@mR{ViWuk@{h@_qAQgEn@yCjDoD`CTJnCuPjJsn@lZo_@tQqYdO_uA~o@_x@~_@}TnKwKjFgIv@gKcFsPiLkn@{b@_TqNkGeBwDy@uPuAeQgCwD{AiHg@mDn@aInFyG~G}ErLqPjt@uBrFR~@|Ab@vBh@hEpD|CbD`ErE~AiBpFqK~@cCgAm@qA}@UO
7,3,22,Campeche-Campeche+Quintana Roo-Chetumal,"(19.8305682, -90.5798364)","(18.5221591, -88.3222882)",420161,gr~wB`oygPxUrj@zOdSg@cFnLcMpD{Mvp@eP`h@_M}Akc@nIgiAwA}hBlBaw@pFyFt_@bc@rs@li@x`CltCtgAfuAnp@leA`g@lp@x\rV`mCzgCpRnLr`@xDvlAzOtwBlrAzo@b[|s@zaAp`BlkAzmG`~@luCld@pjA|PhpBxKbbBpQbg@dF`OvJtUdTdPhHtiAcBd`AaAph@fGpr@|Lhk@d@nWcAnu@bQdo@Edi@rIfqA|ZroApg@l^`Ml~@bC~zCuPf^oC~P_W|IxIzL~Mc@~Olm@b^`gCdhApK|HrBwEjCiGvVom@nG}ThyBzNdjAxH`lC{CrlGaJfzLwRd`BjE~oAlH`dA{MliBaK~jDs@tmIyBx}IqBtzAi@hy@rGfcElf@bfE|`@rn@pGpz@rYlmB|x@|q@fJlm@iObyAwc@xd@o\ttA}Fzd@Ln]lG~aByQdiAsQpkFrAppHfVhxGzVvRt@dV}QdPiIzDom@rSclDnLeoBtUubBzJk\`Y}Vl[un@xCch@hIgd@vR_m@`Ayp@tAwfAhLkh@jI_w@xDs}B}Duf@~Du`DhLw`KrFq`F}BmJseAgx@svAy~@gr@ey@}p@kP}v@qx@gBsdBo@}q@ud@oq@eJaeAeCg_@aJ{MaYux@k]keBgJwh@~FaZh[u|AaRu`@}_@u\cYcjAn@wn@tLqbBtP}rBf@{|@`N{l@bLgnB`Ze`EtR__Ch^o}@~iAqkCpjBeiEvqAgzCdi@ggBfqAckDdBgUpL}R|iAkiArVaSbNws@hJy{BzR_xH~NcoGuTeg@?ik@jH}[fVgf@jhAkzBzm@ss@~CgRycAwhBnAso@fMag@bFwYPam@^khBb@e{AeCyt@j@qfBbMkcCkH_jC_RedDq[kyFaHqoAlOo_AgEot@gP}i@{DaUtDwNtc@mgA~Yoe@jH}d@lMmSbIsWz@y_@pKogEnNutFfYe`Kf@u_@hLgr@~Bci@tOgp@hFqz@lTsjDln@szJ~i@_xIjAwiAzJif@fKu`BtQewCvRi}Cff@}zHfj@c{I`PqgCb@csAgFe`FyG{}GeCo|BeEmk@adBseCgD{fCeEidEyGm}AgHk]qAmf@Liq@ePyoBcHc_Az]woB[}cA}Uu}EmE}`@eNi`@[}b@dN{bAss@ybJyz@akKaIiqAcJ_]{FgdAwhA}jCe`@}{@|Cy[`jA_oApDk]i`@q`AnHmYoUgx@iJebAwAgk@hX{i@OqgApFk_@zYazBnBeV}Roa@eKms@cBu|@MuKiAgj@iNNcFcC]qJ
8,3,26,Campeche-Campeche+Tabasco-Villahermosa,"(19.8305682, -90.5798364)","(17.9925264, -92.9881406)",391490,gr~wB`oygPxUrj@zOdSg@cFnLcMpD{Mvp@eP`h@_M}Akc@nIgiAwA}hBlBaw@pFyFt_@bc@rs@li@x`CltCtgAfuAnp@leA`g@lp@x\rV`mCzgCpRnLr`@xDvlAzOtwBlrAzo@b[|s@zaAp`BlkAzmG`~@luCld@z{Dv]bbBpQbg@dF`OvJtUdTdPhHtiAcBd`AaAph@fGpr@|Lhk@d@nWcAnu@bQdo@Edi@rIfqA|ZroApg@l^`Ml~@bC~zCuPf^oC~P_W|IxIzL~Mc@~Olm@b^`gCdhAlsDbwCtlAhlAjh@nHveGnmGvkA|mA|f@tOfSn]|CpQuFtgAfAnNbZv]veDz_ErrDnrF|eAlwBp}@fwA~yBxxDxfBbuD`|DpwHp_AzdAjo@~cAjh@h}@do@xJbVl[fmAdhCvvCpnGhv@lyAt`An|BfoAzmCz]vuA`rAhoFroBxeFtdEhlJzdAnzAr|AtvArjG~jFpm@f[pjCpbDtk@`w@vItDzDp@nHlJE?EBGHALTJjCCfNfAdJjR~eB`zCwIdd@s^~tAfaApvCfeBdcGfa@zfAn\pk@nXvwA|o@ty@blBxxE~|AbqDfx@`{ApfAxhCve@ndAjQ~t@bPzr@d[|uAjBpLpL|Evr@ej@hFzKoG|_@{IbV`CjJsGzt@hBdBt[v\vBj[tU`RvYvFlj@bdAljAlcCwBtS{Hzd@}VtqAyf@rqAiPph@rB|Xv]rmEhDpnBfL~q@qCrpHoOltBhFnh@eErgArG|vCpHz`EPt`@kFta@dFxtD\xwArJpvBnKvaBeIts@aEb~@{Tnf@uHj[zB~g@`TreBqHjbEpXhm@iKpxAmLv|A{PrUkMjJkDb`@cOnbBgSlbBck@l_C}sAn}Er`@piCvb@dhDzQzyAlVz`Av\zaBrkA~eDlxBzlCxgAv~An}@r`Bl{@xfArdAt{AdnBruDbg@mGvX_EjStIjeA|i@jDbLqHrtBwL`e@qJj_@neBhqDnWbG`KfKj[xs@viArjCh_Blr@`JdR`\xcAxzAliFpNnLr[hAjuBK~yJybAbdAeJr\nF|tEd|@dx@xjApaAxxAhZ|S~PjFdY{E~QeD~_BvNfbA]`q@eOzg@zBhv@uz@xvBzS~y@bl@`dBpyAdTbu@rPlV~d@~Hr_BxUblAzOlrAMz}Ey@f|A`@nQrRjNba@lk@|gA`i@rz@bP|Uxb@tHzjAhJhaAvb@jWbL|Q`W`]lg@dw@fg@o@`[j@fV`s@fx@nVvT|Pdm@yAdj@mHzkBtD`f@EvRoVc@
9,4,26,Chiapas-Tuxtla+Tabasco-Villahermosa,"(16.7459946, -93.1645893)","(17.9925264, -92.9881406)",234844,gveeBlfswP_DlC{W}A_NUkDjGsV{AqLr{@cLnx@gj@t~@gJzO_Yvy@eRxP_Ata@m@x`@kTh\rCpu@rX~IzN|RoDl\|ApWlP~MjG|r@tOlwDbMbvCwHrO}TvP}dBf{AcaAn}@}h@js@oXhiAuQr`@esAbs@ctAbt@yzAtw@u\xRyLjXmTvo@gXv]cv@`Iu|@dj@ma@bp@kl@pIkt@|cBcc@dBmR~@aZ~Rmq@xSg]f]ga@xf@ie@|c@_o@za@_e@vOku@CyW`Ew]dTue@dBsYzYm]~M_b@vj@klAzUgeAxaA{RbVn@vKvEjv@}UtYw_@j[sRnaAk^~W_Fh^eJpPo\nQkaAlw@a`@zQci@dEoe@xC{XvMie@~_@yVnCcXbJu^xG_s@qN{n@gD{R~R_It[eT`ToNbBcjA}Pkw@uEcx@t^wg@oXyj@{n@sXckAiQsOsu@wOP}r@sEeUqZ}Hmm@gCya@pBu\ePkVlA}YoCkX`GgP~c@mZxTgX`Nef@E}W}Uud@kI{Q~D_L|Tox@ns@}dAJu]`b@wo@vZu`Ax\ei@tLwm@eAga@Zaf@rSqpA_Q_]_V_LsE_\jGqDuQwQyHgQuNXaNlOcI_@ob@tIwQxEsIwDiHqAkNwMrMmQ`GkJeIaCqSmH{JlFwKaCmI}Ed@nEpCiKnPib@wJmIfAeAvEoHdDw^mT}OaNaMyDjAgQkJiI}ChGeLmQsLaU}VdDaE_I}B{QgXgOw\eKcMNyEuCcTb@eHmMsVsV_SrOm\wPeGkQgGmIr@hFuNaHiJ^mNdWwPoLHaImXgLyMi@HuFwB_Q{IqEaXcEiDcHiUqBi[kZaBuHsNuC}YpMgM]oj@mCch@iT{MwI}FoSw[dH{d@jBw}AyCuU~LmNtJorAdCkg@aRsaAjKsd@pUgdBxzAqj@nf@{t@rR}jAvMaRkUudAuzAo`@kSsPuc@k{@a`@ktBc|@sgBcv@}YoLqK`@gB|A_CmIy_@gJslD}i@k`Fqv@wbDyl@esBafA{~@ol@~Dib@cF}Vqt@at@_qBgdBcPkJgb@_AyaAkB_lBqG{Yum@q^ef@a_A{t@sp@{g@sOgCo~AnLovAwFe~Cc[od@uHmG}AvP{ShGySsK{RseAgu@[mm@|Lgh@wFwJqRgXrXo|@rJo^wDoUaaAoa@ka@aOuh@kHgpAis@aUun@cJ{H`Me^uEuSgNgO{Doy@AynCnAux@rUws@hq@ypB~IigDtu@w|C~MwhAv@{~@D}~@kLe_AaHqrCqIgqCg\giHoG_~@sEeg@yGkS_ZK
